Name,L,A,B
MAYBELLINE 109,120.62341661269475,136.53969454008197,147.798724304448
MAYBELLINE 112,121.07689285026747,136.04159332982863,146.06337228009053
MAYBELLINE 115,116.40289426949967,137.4795568607383,146.00801397595103
MAYBELLINE 118,121.67706831191981,133.3440418102157,146.89788390583533
MAYBELLINE 120,107.76853724047335,135.12104896190496,144.61827447348745
MAYBELLINE 125,89.4874708422174,133.57788558983705,144.2969003338702
MAYBELLINE 128,96.82346248405304,132.87063021317906,145.1020885489288
MAYBELLINE 130,95.3394747989364,136.3859881700594,145.15264568115023
MAYBELLINE 220,84.21116080609666,134.15525616119217,144.18783294570233
MAYBELLINE 228,77.29408312342893,134.45106200381363,145.91109484832057
MAYBELLINE 230,85.14806632340994,135.88391756795045,146.90117240269095
MAYBELLINE 235,85.84664116798119,135.64800762749408,144.45629132854842
MAYBELLINE 310,75.4272753712533,137.00498812869486,145.48809095773956
